 Diagnosis, Precentage in Top Five
acute glomerulonephritis, 0.08
autoimmune hepatitis, 0.08
cardiomyopathy, 0.4
celiac disease, 0.16
childhood systemic vasculitis, 0.08
chronic anemia, 0.08
chronic fatigue syndrome, 0.32
chronic inflammatory demyelinating polyneuropathy (cidp), 0.32
congenital muscular dystrophy, 0.08
congenital myasthenic syndrome, 0.32
congestive heart failure, 0.16
connective tissue disease, 0.08
cushing's syndrome, 0.08
dermatitis herpetiformis, 0.16
dermatomyositis, 2.81
duchenne muscular dystrophy, 0.8
eosinophilic esophagitis, 0.08
eosinophilic fasciitis, 0.24
esophagitis, 0.08
familial partial lipodystrophy, 0.08
gastrointestinal bleeding or ulceration, 0.08
gastrointestinal disorders, 0.08
gastrointestinal disorders (e.g., ulcerative colitis), 0.08
gastrointestinal disorders (such as inflammatory bowel disease), 0.08
gingival hyperplasia, 0.08
gingivostomatitis, 0.08
granulomatosis with polyangiitis (wegener's), 0.08
guillain-barre syndrome, 0.24
heart failure, 0.32
hemolytic uremic syndrome, 0.08
hypothyroid myopathy, 1.12
hypothyroidism, 1.92
idiopathic inflammatory myopathies, 0.32
idiopathic thrombocytopenic purpura (itp), 0.08
inclusion body myositis, 2.32
infectious causes such as viral myositis, 0.08
infectious gastroenteritis, 0.08
infectious mononucleosis, 0.16
infectious myositis, 0.32
inflammatory bowel disease, 0.64
inflammatory bowel disease (ibd), 0.08
inflammatory myopathies, 0.4
inflammatory myopathy, 0.8
juvenile dermatomyositis, 19.35
juvenile idiopathic arthritis, 8.51
juvenile idiopathic arthritis (jia), 0.96
juvenile idiopathic inflammatory myopathy, 0.08
juvenile mixed connective tissue disease, 0.08
juvenile myasthenia gravis, 0.08
juvenile polymyositis, 0.08
juvenile scleroderma, 0.4
juvenile systemic sclerosis, 0.32
kawasaki disease, 2.24
lipodystrophy, 0.4
lupus, 1.04
lupus dermatitis, 0.16
lupus dermatomyositis overlap, 0.08
lupus myositis, 0.08
lyme disease, 0.4
lymphoma, 0.08
malnutrition, 0.32
metabolic myopathy, 0.08
mitochondrial myopathy, 0.32
mixed connective tissue disease, 1.28
mixed connective tissue disease (mctd), 1.44
muscular dystrophy, 0.24
myasthenia gravis, 1.28
overlap syndrome, 0.08
overlap syndrome (juvenile dermatomyositis and sle), 0.08
overlap syndrome (mixed connective tissue disease), 0.08
periodontal disease, 0.16
poly/dermatomyositis, 0.08
polymyositis, 13.65
pompe disease, 0.08
pulmonary hypertension, 0.08
rheumatic fever, 0.08
rheumatoid arthritis, 1.68
sarcoidosis, 0.16
scleroderma, 1.12
scleroderma (systemic sclerosis), 0.08
sjogren's syndrome, 1.12
sle (systemic lupus erythematosus), 0.08
systemic juvenile idiopathic arthritis, 0.56
systemic juvenile idiopathic arthritis (sjia), 0.08
systemic lupus erythematosus, 8.35
systemic lupus erythematosus (sle), 10.52
systemic scleroderma, 0.16
systemic sclerosis, 3.29
systemic sclerosis (scleroderma), 1.76
systemic vasculitis, 0.24
vasculitis, 0.24
viral infection, 0.4
viral myositis, 0.16
vitamin d deficiency, 0.16
