 Diagnosis, Precentage in Top Five
calcinosis cutis, 0.08
cushing's syndrome, 0.24
cutaneous lupus erythematosus, 0.08
dermatomyositis-like drug reaction, 0.08
dermatomyositis-pancreatitis syndrome, 0.08
drug-induced lupus, 0.08
drug-induced lupus erythematosus, 0.16
drug-induced myopathy with rash, 0.08
duchenne muscular dystrophy, 0.08
henoch-schönlein purpura, 0.32
henoch-schönlein purpura (hsp), 0.08
hyperthyroidism, 0.08
hypothyroidism, 1.04
inclusion body myositis, 0.08
infectious myositis, 0.24
juvenile dermatomyositis, 19.11
juvenile dermatomyositis (jdm), 0.88
juvenile idiopathic arthritis, 1.69
juvenile idiopathic arthritis (jia), 2.66
juvenile idiopathic arthritis (jia) with dermatitis, 0.16
juvenile idiopathic arthritis (jia) with myositis, 0.08
juvenile idiopathic arthritis (jia) with systemic features, 0.4
juvenile idiopathic arthritis (jia) with systemic involvement, 0.16
juvenile idiopathic arthritis (jia) with systemic onset, 0.08
juvenile idiopathic arthritis (systemic onset), 0.32
juvenile idiopathic arthritis with systemic features, 0.16
juvenile idiopathic arthritis with systemic onset, 0.08
juvenile systemic lupus erythematosus, 0.08
kawasaki disease, 1.12
linear scleroderma, 0.08
lipodystrophy syndrome, 0.08
mixed connective tissue disease, 11.12
mixed connective tissue disease (mctd), 8.62
muscular dystrophy, 0.56
myasthenia gravis, 0.08
nutritional deficiency (e.g., vitamin c deficiency), 0.08
overlap syndrome, 0.08
polymyositis, 18.54
psoriatic arthritis, 0.32
rheumatic fever, 0.32
rheumatoid arthritis, 0.56
rheumatoid arthritis (juvenile idiopathic arthritis), 0.16
sarcoidosis, 0.16
scleroderma, 5.24
scleroderma (systemic sclerosis), 0.4
sjögren's syndrome, 1.29
sjögren’s syndrome, 0.32
systemic lupus erythematosus, 2.25
systemic lupus erythematosus (sle), 17.66
systemic sclerosis (scleroderma), 0.08
vasculitis, 0.16
viral exanthem, 0.08
viral myositis, 1.61
vitamin d deficiency, 0.24
