 Diagnosis, Precentage in Top Five
atopic dermatitis with secondary infection, 0.08
celiac disease, 0.08
childhood polymyositis, 0.16
childhood polymyositis (pm), 0.16
childhood scleroderma, 0.08
childhood systemic sclerosis, 0.08
childhood-onset systemic sclerosis (scleroderma), 0.08
chronic fatigue syndrome, 0.08
chronic fatigue syndrome (cfs), 0.08
congestive heart failure, 0.08
cushing's syndrome, 0.08
cutaneous t-cell lymphoma (ctcl), 0.08
duchenne muscular dystrophy, 0.16
duchenne muscular dystrophy (dmd), 0.24
endocrine disorders (e.g., hypothyroidism or cushing's syndrome), 0.08
hypothyroidism, 0.08
inherited lipodystrophy syndromes, 0.08
inherited metabolic disorder (e.g., mitochondrial disorder), 0.08
inherited metabolic disorders, 0.08
inherited muscular dystrophy, 0.16
juvenile dermatomyositis, 10.68
juvenile dermatomyositis (jdm), 9.31
juvenile idiopathic arthritis, 0.16
juvenile idiopathic arthritis (jia), 1.28
juvenile polymyositis (jpm), 0.08
kawasaki disease, 0.16
limb-girdle muscular dystrophy (lgmd), 0.08
lipodystrophy syndromes, 0.08
metabolic myopathy, 0.16
mitochondrial myopathy, 1.92
mixed connective tissue disease, 0.88
mixed connective tissue disease (mctd), 9.71
muscular dystrophy, 15.66
muscular dystrophy (e.g., duchenne muscular dystrophy), 0.08
muscular dystrophy (e.g., duchenne or becker), 0.08
muscular dystrophy (md), 0.16
muscular dystrophy (other types), 0.08
muscular dystrophy-dystroglycanopathy, 0.08
myasthenia gravis, 0.8
overlap syndrome, 0.32
polymyositis, 14.93
rheumatoid arthritis, 0.16
rheumatoid arthritis (juvenile), 0.08
severe anemia, 0.08
systemic lupus erythematosus, 0.56
systemic lupus erythematosus (sle), 19.03
systemic sclerosis (scleroderma), 0.16
vasculitis, 0.16
vasculitis (e.g., henoch-schönlein purpura), 0.08
vasculitis (e.g., polyarteritis nodosa), 0.08
viral infection, 0.08
viral infection (e.g., coxsackievirus or parvovirus b19), 0.08
viral infection (e.g., epstein-barr virus), 0.24
viral infection (e.g., parvovirus b19, coxsackievirus), 0.16
viral myositis, 9.79
viral myositis (e.g., influenza or enterovirus), 0.08
vitamin d deficiency, 0.32
