 Diagnosis, Precentage in Top Five
chronic fatigue syndrome, 0.08
duchenne muscular dystrophy, 0.08
hypothyroidism, 0.08
juvenile dermatomyositis, 20.0
juvenile idiopathic arthritis, 4.19
juvenile idiopathic arthritis (jia), 0.64
juvenile idiopathic arthritis (systemic onset), 2.82
juvenile idiopathic arthritis (systemic-onset), 2.5
kawasaki disease, 0.08
lyme disease, 0.16
mixed connective tissue disease, 18.62
muscular dystrophy, 3.06
myasthenia gravis, 0.64
overlap syndrome, 0.08
polymyositis, 18.62
scleroderma, 6.93
scleroderma (systemic sclerosis), 0.08
systemic lupus erythematosus, 0.08
systemic lupus erythematosus (sle), 19.91
systemic sclerosis (scleroderma), 0.08
vasculitis (e.g., polyarteritis nodosa), 0.24
viral myositis, 0.96
