# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
4, 2, 100.0, 100.0, 100.0
5, 1, 0.0, 0.0, 0.0
6, 10, 50.0, 90.0, 90.0
7, 36, 69.44444444444444, 83.33333333333334, 88.88888888888889
8, 74, 87.83783783783784, 93.24324324324324, 94.5945945945946
9, 137, 83.94160583941606, 91.24087591240875, 91.97080291970804
10, 176, 94.31818181818183, 98.29545454545455, 98.29545454545455
11, 179, 91.62011173184358, 97.20670391061452, 97.20670391061452
12, 143, 92.3076923076923, 99.3006993006993, 100.0
13, 118, 91.52542372881356, 100.0, 100.0
14, 71, 97.1830985915493, 98.59154929577466, 98.59154929577466
15, 25, 92.0, 100.0, 100.0
16, 17, 94.11764705882352, 100.0, 100.0
17, 7, 100.0, 100.0, 100.0
18, 1, 100.0, 100.0, 100.0
19, 1, 100.0, 100.0, 100.0
