 Diagnosis, Precentage in Top Five
autoimmune hemolytic anemia, 0.16
autoimmune hepatitis, 0.4
cardiomyopathy, 0.08
chronic myelogenous leukemia, 0.16
congenital heart disease, 0.48
cystic fibrosis, 0.32
dermatomyositis, 3.05
duchenne muscular dystrophy, 0.56
eosinophilic esophagitis, 0.64
eosinophilic fasciitis, 0.08
esophageal dysmotility disorders, 0.08
familial mediterranean fever, 0.08
gaucher disease, 0.4
gaucher's disease, 0.08
glomerulonephritis, 0.08
henoch-schonlein purpura, 0.08
henoch-schönlein purpura, 0.16
hypersensitivity pneumonitis, 0.08
idiopathic pulmonary fibrosis, 0.08
idiopathic thrombocytopenic purpura (itp), 0.08
infectious arthritis, 0.16
infectious hepatitis, 0.08
infectious mononucleosis, 0.56
inflammatory myopathy, 0.08
interstitial lung disease, 0.24
juvenile autoimmune hepatitis, 0.08
juvenile biliary atresia, 0.08
juvenile connective tissue disease, 0.08
juvenile dermatomyositis, 12.54
juvenile hypertension, 0.16
juvenile idiopathic arthritis, 17.28
juvenile idiopathic arthritis (jia), 0.48
juvenile idiopathic arthritis with associated complications, 0.08
juvenile idiopathic hepatomegaly, 0.08
juvenile idiopathic pericarditis, 0.08
juvenile idiopathic pleural effusion, 0.08
juvenile idiopathic pulmonary fibrosis, 0.16
juvenile idiopathic raynaud's, 0.08
juvenile idiopathic scleroderma, 0.08
juvenile interstitial lung disease, 0.08
juvenile myelofibrosis, 0.08
juvenile myositis, 0.08
juvenile nephropathy, 0.08
juvenile polymyositis, 0.08
juvenile rheumatic heart disease, 0.08
juvenile rheumatoid arthritis, 0.72
juvenile scleroderma, 0.16
juvenile sjogren's syndrome, 0.16
juvenile sjögren's syndrome, 0.08
juvenile still's disease, 0.08
juvenile systemic lupus erythematosus, 1.04
juvenile systemic sclerosis, 1.2
juvenile systemic sclerosis (juvenile scleroderma), 0.08
kawasaki disease, 1.68
lupus, 0.4
lupus nephritis, 0.24
lyme disease, 0.24
mixed connective tissue disease, 3.13
mixed connective tissue disease (mctd), 1.28
muscular dystrophy, 0.16
nephrotic syndrome, 0.08
neurological disorder (e.g., multiple sclerosis), 0.08
neurological lyme disease, 0.08
pericarditis, 0.08
pleural effusion, 0.08
polymyositis, 0.16
primary pulmonary arterial hypertension, 0.08
pulmonary fibrosis, 0.56
pulmonary hypertension, 0.24
raynaud's phenomenon, 0.32
rheumatic fever, 2.0
rheumatic heart disease, 0.16
rheumatoid arthritis, 0.4
sarcoidosis, 0.88
scleroderma, 0.96
sjogren's syndrome, 2.25
sjögren's syndrome, 0.72
splenic sequestration, 0.08
systemic amyloidosis, 0.08
systemic hypertension, 0.08
systemic juvenile dermatomyositis, 0.08
systemic juvenile idiopathic arthritis, 1.76
systemic juvenile scleroderma, 0.08
systemic lupus erythematosus, 10.69
systemic lupus erythematosus (sle), 9.24
systemic lupus erythematosus (sle) with associated hematologic manifestations, 0.08
systemic lupus nephritis, 0.08
systemic scleroderma, 0.24
systemic sclerosis, 10.45
systemic sclerosis (scleroderma), 5.38
systemic sclerosis with renal crisis, 0.08
systemic sclerosis with systemic lupus erythematosus overlap, 0.08
systemic vasculitis, 0.4
wilson's disease, 1.12
