 Diagnosis, Precentage in Top Five
autoimmune hepatitis, 0.24
dermatomyositis, 0.4
eosinophilic esophagitis, 0.08
eosinophilic fasciitis, 0.48
glycogen storage disease type iii, 0.08
idiopathic interstitial pneumonia, 0.08
juvenile dermatomyositis, 15.48
juvenile idiopathic arthritis, 0.08
juvenile idiopathic arthritis (jia), 3.38
juvenile idiopathic arthritis (systemic onset), 5.64
juvenile idiopathic arthritis (systemic-onset), 1.04
juvenile scleroderma, 0.08
juvenile sjögren's syndrome, 0.4
juvenile systemic lupus erythematosus, 1.69
juvenile systemic lupus erythematosus (jsle), 0.24
juvenile systemic lupus erythematosus (sle), 0.32
juvenile systemic sclerosis, 6.29
kawasaki disease, 0.64
lupus (systemic lupus erythematosus), 0.24
lupus nephritis, 0.08
lyme disease, 0.48
mixed connective tissue disease, 15.64
mixed connective tissue disease (mctd), 4.27
overlap syndrome, 2.09
polyarteritis nodosa, 2.58
polyarticular juvenile idiopathic arthritis, 0.48
polymyositis, 1.85
polymyositis/dermatomyositis, 0.4
rheumatic fever, 0.48
rheumatoid arthritis (juvenile onset), 0.08
sarcoidosis, 0.24
scleroderma, 3.79
scleroderma (systemic sclerosis), 1.12
sjogren's syndrome, 0.08
sjögren's syndrome, 5.48
systemic juvenile idiopathic arthritis (sjia), 0.08
systemic lupus erythematosus, 1.12
systemic lupus erythematosus (juvenile onset), 0.08
systemic lupus erythematosus (juvenile), 0.08
systemic lupus erythematosus (pediatric), 0.08
systemic lupus erythematosus (sle), 15.48
systemic sclerosis (scleroderma), 6.93
