# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
3, 6, 0.0, 0.0, 0.0
4, 20, 0.0, 5.0, 5.0
5, 53, 0.0, 0.0, 0.0
6, 108, 0.0, 0.0, 0.9259259259259258
7, 172, 0.0, 0.0, 2.9069767441860463
8, 198, 0.0, 2.0202020202020203, 4.545454545454546
9, 186, 0.0, 2.1505376344086025, 5.913978494623656
10, 132, 0.0, 0.7575757575757576, 2.272727272727273
11, 77, 0.0, 2.5974025974025974, 5.194805194805195
12, 30, 0.0, 0.0, 13.333333333333334
13, 13, 0.0, 0.0, 0.0
14, 4, 0.0, 0.0, 0.0
