# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
3, 6, 0.0, 0.0, 0.0
4, 20, 0.0, 15.0, 60.0
5, 53, 0.0, 28.30188679245283, 54.71698113207547
6, 108, 0.0, 45.370370370370374, 74.07407407407408
7, 172, 0.0, 58.139534883720934, 87.79069767441861
8, 198, 0.0, 68.18181818181817, 92.92929292929293
9, 185, 0.0, 76.75675675675676, 94.5945945945946
10, 132, 0.0, 78.78787878787878, 98.48484848484848
11, 77, 0.0, 87.01298701298701, 100.0
12, 30, 3.3333333333333335, 80.0, 100.0
13, 13, 0.0, 100.0, 100.0
14, 4, 0.0, 75.0, 100.0
