 Diagnosis, Precentage in Top Five
acute leukemia, 0.02
acute lymphoblastic leukemia (all), 0.02
acute rheumatic fever, 0.06
alport syndrome, 0.06
amyloidosis, 0.14
anemia, 0.02
antiphospholipid syndrome, 0.08
antisynthetase syndrome, 0.02
anxiety or psychogenic dysphagia, 0.02
autoimmune hepatitis, 0.08
autoimmune hepatitis with multisystem involvement, 0.02
chronic myelogenous leukemia (cml), 0.02
coarctation of the aorta, 0.02
cold agglutinin disease, 0.02
congenital central hypoventilation syndrome, 0.02
congenital heart defect with pulmonary hypertension, 0.02
congenital heart disease, 0.04
congenital heart disease with complications, 0.02
congenital heart disease with secondary effects, 0.02
congestive heart failure, 0.02
costochondritis, 0.02
crest syndrome (limited scleroderma), 0.02
cyanotic congenital heart disease, 0.02
cyanotic heart disease, 0.02
cystic fibrosis, 0.24
dehydration, 0.04
dermatomyositis, 1.36
ehlers-danlos syndrome, 0.22
ehlers-danlos syndrome (vascular type), 0.04
eisenmenger syndrome, 0.06
eosinophilic esophagitis, 0.36
eosinophilic fasciitis, 0.5
eosinophilic granulomatosis with polyangiitis (churg-strauss syndrome), 0.02
eosinophilic granulomatosis with polyangiitis (egpa), 0.1
esophageal dysmotility, 0.06
esophageal stricture, 0.14
fanconi syndrome, 0.02
fibromyalgia, 0.02
fifth disease (erythema infectiosum), 0.02
fifth disease (parvovirus b19 infection), 0.02
gastroesophageal reflux disease (gerd), 0.08
gaucher disease, 0.06
gaucher's disease, 0.04
glycogen storage disease, 0.06
goodpasture syndrome, 0.02
granulomatosis with polyangiitis (wegener's granulomatosis), 0.02
hemolytic uremic syndrome, 0.02
hemophagocytic lymphohistiocytosis (hlh), 0.02
henoch-schönlein purpura, 0.12
henoch-schönlein purpura (hsp), 0.92
henoch-schönlein purpura (iga vasculitis), 0.02
henoch-schönlein purpura with atypical presentation, 0.02
hepatic involvement in a systemic inflammatory disorder, 0.02
hyperthyroidism, 0.02
hypothyroidism, 0.3
iga nephropathy, 0.04
infectious mononucleosis, 0.4
infective endocarditis, 0.24
juvenile dermatomyositis, 10.44
juvenile idiopathic arthritis, 0.46
juvenile idiopathic arthritis (jia), 4.68
juvenile idiopathic arthritis (jia) with complications, 0.02
juvenile idiopathic arthritis (jia) with raynaud's, 0.02
juvenile idiopathic arthritis (jia) with raynaud's phenomenon, 0.06
juvenile idiopathic arthritis (jia) with secondary sjögren's syndrome, 0.02
juvenile idiopathic arthritis (jia) with systemic features, 0.46
juvenile idiopathic arthritis (jia) with systemic involvement, 0.16
juvenile idiopathic arthritis (jia) with systemic onset, 0.32
juvenile idiopathic arthritis (systemic onset), 0.32
juvenile idiopathic arthritis (systemic), 0.04
juvenile idiopathic arthritis (with raynaud's phenomenon), 0.02
juvenile idiopathic arthritis (with systemic features), 0.04
juvenile idiopathic arthritis (with systemic involvement), 0.06
juvenile idiopathic arthritis with lung involvement, 0.02
juvenile idiopathic arthritis with systemic features, 0.06
juvenile idiopathic arthritis with systemic onset, 0.02
juvenile myasthenia gravis, 0.02
juvenile rheumatoid arthritis, 0.26
juvenile rheumatoid arthritis (jra), 0.5
juvenile rheumatoid arthritis (jra) with extra-articular manifestations, 0.02
juvenile rheumatoid arthritis (jra) with raynaud's phenomenon, 0.04
juvenile rheumatoid arthritis (systemic onset), 0.04
juvenile rheumatoid arthritis with systemic features (still’s disease), 0.02
juvenile rheumatoid arthritis with systemic onset, 0.02
juvenile rheumatoid arthritis with visceral involvement, 0.02
juvenile sarcoidosis, 0.02
juvenile scleroderma, 0.14
juvenile sjögren's syndrome, 0.02
juvenile systemic lupus erythematosus, 0.04
juvenile systemic lupus erythematosus (jsle), 0.1
juvenile systemic sclerosis, 2.94
juvenile systemic sclerosis (scleroderma), 0.08
kawasaki disease, 1.84
langerhans cell histiocytosis, 0.02
leukemia, 0.06
lupus (juvenile systemic lupus erythematosus), 0.06
lupus (sle), 0.04
lupus (systemic lupus erythematosus - sle), 0.32
lupus (systemic lupus erythematosus or sle), 0.02
lupus (systemic lupus erythematosus), 4.0
lupus erythematosus, 0.16
lupus nephritis, 0.02
lymphoma, 0.04
meningococcemia, 0.02
mitochondrial myopathy, 0.02
mixed connective tissue disease, 3.4
mixed connective tissue disease (mctd), 14.32
mononucleosis, 0.02
muscular dystrophy, 0.02
myasthenia gravis, 0.16
niemann-pick disease, 0.06
parvovirus b19 infection, 0.02
