# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
3, 6, 0.0, 0.0, 0.0
4, 20, 0.0, 10.0, 35.0
5, 53, 0.0, 22.641509433962266, 39.62264150943396
6, 108, 0.0, 37.96296296296296, 49.074074074074076
7, 172, 0.0, 44.76744186046512, 58.139534883720934
8, 198, 0.0, 57.07070707070707, 69.6969696969697
9, 186, 0.0, 68.27956989247312, 74.19354838709677
10, 132, 0.0, 71.96969696969697, 79.54545454545455
11, 77, 0.0, 81.81818181818183, 85.71428571428571
12, 30, 0.0, 96.66666666666667, 96.66666666666667
13, 13, 0.0, 84.61538461538461, 84.61538461538461
14, 4, 0.0, 100.0, 100.0
