# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
3, 6, 0.0, 0.0, 0.0
4, 20, 0.0, 40.0, 55.00000000000001
5, 53, 0.0, 32.075471698113205, 52.83018867924528
6, 108, 0.0, 39.81481481481482, 60.18518518518518
7, 172, 0.0, 55.23255813953488, 76.74418604651163
8, 198, 0.0, 52.02020202020202, 82.32323232323232
9, 185, 0.0, 58.37837837837838, 91.8918918918919
10, 132, 0.0, 55.3030303030303, 92.42424242424242
11, 77, 0.0, 51.94805194805194, 93.5064935064935
12, 30, 0.0, 50.0, 96.66666666666667
13, 13, 0.0, 38.46153846153847, 100.0
14, 4, 0.0, 75.0, 100.0
