# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
2, 1, 0.0, 0.0, 0.0
3, 3, 33.33333333333333, 100.0, 100.0
4, 13, 46.15384615384615, 84.61538461538461, 92.3076923076923
5, 23, 60.86956521739131, 95.65217391304348, 95.65217391304348
6, 49, 67.3469387755102, 97.95918367346938, 100.0
7, 42, 73.80952380952381, 100.0, 100.0
8, 50, 88.0, 100.0, 100.0
9, 35, 91.42857142857143, 97.14285714285714, 97.14285714285714
10, 20, 100.0, 100.0, 100.0
11, 8, 100.0, 100.0, 100.0
12, 4, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
