# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
2, 1, 0.0, 0.0, 0.0
3, 3, 66.66666666666666, 100.0, 100.0
4, 13, 76.92307692307693, 84.61538461538461, 84.61538461538461
5, 23, 86.95652173913044, 91.30434782608695, 95.65217391304348
6, 49, 89.79591836734694, 97.95918367346938, 97.95918367346938
7, 42, 95.23809523809523, 100.0, 100.0
8, 49, 95.91836734693877, 100.0, 100.0
9, 35, 100.0, 100.0, 100.0
10, 20, 100.0, 100.0, 100.0
11, 8, 100.0, 100.0, 100.0
12, 4, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
