 Diagnosis, Precentage in Top Five
acute disseminated encephalomyelitis (adem), 0.08
acute intermittent porphyria, 0.08
acute leukemia, 0.08
acute lymphoblastic leukemia (all), 1.04
acute post-streptococcal glomerulonephritis, 0.16
acute post-streptococcal glomerulonephritis (apsgn), 0.16
acute poststreptococcal glomerulonephritis, 0.08
acute rheumatic fever, 1.61
acute viral encephalitis, 0.08
alpha-1 antitrypsin deficiency, 0.08
anorexia nervosa, 0.08
autoimmune hepatitis, 0.88
celiac disease, 0.16
celiac disease with neurological manifestations, 0.08
childhood vasculitis (e.g., kawasaki disease), 0.08
cystic fibrosis, 0.24
dermatomyositis, 1.77
discoid lupus erythematosus, 0.08
drug-induced lupus, 0.32
epilepsy with rash, 0.08
familial mediterranean fever (fmf), 0.08
fifth disease (erythema infectiosum), 0.08
gaucher's disease, 0.08
goodpasture syndrome, 0.32
granulomatosis with polyangiitis (gpa), 0.08
granulomatosis with polyangiitis (wegener's granulomatosis), 0.24
hemolytic anemia, 0.08
hemophagocytic lymphohistiocytosis (hlh), 0.32
henoch-schönlein purpura, 0.16
henoch-schönlein purpura (hsp), 11.45
henoch-schönlein purpura (iga vasculitis), 0.08
hepatitis, 0.08
hepatitis-associated autoimmune disease, 0.08
iga nephropathy, 0.24
infection-associated vasculitis, 0.08
infection-induced autoimmune encephalitis, 0.08
infections (viral or bacterial), 0.08
infectious mononucleosis, 7.9
infective endocarditis, 0.72
inflammatory bowel disease (e.g., crohn's disease), 0.16
inflammatory bowel disease (ibd), 0.64
juvenile dermatomyositis, 2.5
juvenile idiopathic arthritis (jia), 11.37
juvenile idiopathic arthritis (jia) - systemic onset, 1.04
juvenile idiopathic arthritis (jia) - systemic type, 0.08
juvenile idiopathic arthritis (jia) with systemic features, 0.4
juvenile idiopathic arthritis (jia) with systemic involvement, 0.08
juvenile idiopathic arthritis (jia) with systemic onset, 2.09
juvenile idiopathic arthritis (jia) with systemic onset (still's disease), 0.16
juvenile idiopathic arthritis (jia) – systemic onset, 0.24
juvenile idiopathic arthritis (systemic onset), 0.4
juvenile idiopathic arthritis (with systemic onset), 0.16
juvenile idiopathic arthritis with systemic onset, 0.08
juvenile rheumatoid arthritis (jra) - systemic onset, 0.08
kawasaki disease, 8.7
leukemia, 0.64
lupus (systemic lupus erythematosus), 0.08
lyme disease, 0.32
lymphoma, 0.08
mixed connective tissue disease, 0.72
mixed connective tissue disease (mctd), 8.3
neurocutaneous syndrome, 0.16
niemann-pick disease, 0.08
nutritional deficiency (e.g., zinc deficiency), 0.08
pediatric onset neuropsychiatric syndrome (pans), 0.08
pediatric onset psoriasis, 0.08
polyarteritis nodosa, 0.16
polyarteritis nodosa (pan), 0.08
post-streptococcal glomerulonephritis, 0.32
post-streptococcal glomerulonephritis (psgn), 0.08
psoriasis, 0.08
rheumatic fever, 3.79
rheumatoid arthritis, 0.08
sarcoidosis, 0.72
stevens-johnson syndrome, 0.32
still's disease, 0.4
still's disease (systemic onset juvenile idiopathic arthritis), 0.08
systemic juvenile idiopathic arthritis, 0.08
systemic juvenile idiopathic arthritis (sjia), 0.8
systemic lupus erythematosus (sle), 19.51
tuberculosis, 0.08
vasculitis, 0.08
vasculitis (e.g., anca-associated vasculitis), 0.08
vasculitis (e.g., granulomatosis with polyangiitis), 0.08
vasculitis (e.g., henoch-schönlein purpura), 0.32
viral exanthem, 0.08
viral exanthem with arthritis, 0.08
viral exanthem with encephalitis, 0.08
viral exanthema, 0.08
viral hepatitis, 1.93
viral hepatitis with encephalopathy, 0.08
viral infection (e.g., epstein-barr virus), 0.88
viral infection (e.g., parvovirus b19), 0.24
viral infection (such as epstein-barr virus), 0.08
viral infection with autoimmune features, 0.24
viral infection with secondary immune complex disease, 0.08
wegener's granulomatosis (granulomatosis with polyangiitis), 0.16
wegener’s granulomatosis (granulomatosis with polyangiitis), 0.08
wilson's disease, 0.32
