# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
2, 1, 0.0, 0.0, 0.0
3, 3, 66.66666666666666, 100.0, 100.0
4, 13, 69.23076923076923, 92.3076923076923, 92.3076923076923
5, 23, 86.95652173913044, 95.65217391304348, 95.65217391304348
6, 49, 97.95918367346938, 100.0, 100.0
7, 42, 100.0, 100.0, 100.0
8, 49, 100.0, 100.0, 100.0
9, 35, 100.0, 100.0, 100.0
10, 20, 100.0, 100.0, 100.0
11, 8, 100.0, 100.0, 100.0
12, 4, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
