# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
1, 1, 0.0, 0.0, 0.0
2, 2, 0.0, 0.0, 0.0
3, 13, 0.0, 30.76923076923077, 46.15384615384615
4, 41, 41.46341463414634, 90.2439024390244, 92.6829268292683
5, 109, 43.11926605504588, 83.4862385321101, 91.74311926605505
6, 177, 63.84180790960452, 89.83050847457628, 93.22033898305084
7, 214, 72.89719626168224, 93.45794392523365, 96.26168224299066
8, 167, 73.65269461077844, 98.80239520958084, 99.40119760479041
9, 149, 76.51006711409396, 97.31543624161074, 98.65771812080537
10, 79, 83.54430379746836, 98.73417721518987, 100.0
11, 27, 92.5925925925926, 100.0, 100.0
12, 12, 100.0, 100.0, 100.0
13, 7, 85.71428571428571, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
