# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
1, 1, 0.0, 0.0, 0.0
2, 2, 0.0, 0.0, 0.0
3, 13, 0.0, 53.84615384615385, 76.92307692307693
4, 41, 51.21951219512195, 90.2439024390244, 95.1219512195122
5, 109, 69.72477064220183, 93.57798165137615, 96.3302752293578
6, 177, 84.18079096045197, 95.48022598870057, 96.61016949152543
7, 214, 91.1214953271028, 97.66355140186917, 99.06542056074767
8, 167, 95.80838323353294, 99.40119760479041, 100.0
9, 149, 96.64429530201343, 97.98657718120806, 98.65771812080537
10, 78, 100.0, 100.0, 100.0
11, 27, 100.0, 100.0, 100.0
12, 12, 100.0, 100.0, 100.0
13, 7, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
