# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
1, 1, 0.0, 0.0, 0.0
2, 2, 0.0, 0.0, 0.0
3, 13, 0.0, 53.84615384615385, 53.84615384615385
4, 41, 48.78048780487805, 85.36585365853658, 90.2439024390244
5, 109, 66.97247706422019, 92.66055045871559, 94.4954128440367
6, 177, 79.66101694915254, 94.91525423728814, 96.045197740113
7, 214, 86.91588785046729, 97.66355140186917, 98.5981308411215
8, 167, 92.21556886227546, 100.0, 100.0
9, 149, 95.30201342281879, 100.0, 100.0
10, 79, 100.0, 100.0, 100.0
11, 27, 100.0, 100.0, 100.0
12, 12, 100.0, 100.0, 100.0
13, 7, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
