 Diagnosis, Precentage in Top Five
acute disseminated encephalomyelitis (adem), 0.04
acute glomerulonephritis, 2.06
acute hepatitis, 0.12
acute intermittent porphyria, 0.04
acute leukemia, 0.1
acute liver failure, 0.02
acute lymphoblastic leukemia, 0.14
acute lymphoblastic leukemia (all), 1.96
acute pancreatitis, 0.28
acute rheumatic fever, 0.68
acute viral hepatitis, 0.04
acute viral illness, 0.02
allergic reaction, 0.02
allergic rhinitis, 0.02
alopecia areata, 0.04
anemia, 0.04
antiphospholipid antibody syndrome, 0.04
antiphospholipid syndrome, 0.1
anxiety disorder, 0.04
aphthous ulcers (canker sores), 0.02
asthma, 0.04
atopic dermatitis (eczema), 0.02
autoimmune disorder, 0.12
autoimmune disorder (e.g., lupus), 0.02
autoimmune disorder (e.g., systemic lupus erythematosus), 0.12
autoimmune disorders, 0.02
autoimmune hepatitis, 1.88
autoimmune lymphoproliferative syndrome (alps), 0.14
bacterial infection, 0.02
bacterial infection (e.g., streptococcal pharyngitis, pneumonia), 0.02
bacterial infection (e.g., streptococcal pharyngitis, urinary tract infection), 0.02
biliary tract infection, 0.02
bladder cancer, 0.02
budd-chiari syndrome, 0.02
celiac disease, 0.66
central nervous system (cns) vasculitis, 0.06
chronic fatigue syndrome (cfs), 0.02
chronic granulomatous disease, 0.02
chronic granulomatous disease (cgd), 0.04
chronic hepatitis, 0.02
chronic kidney disease, 0.12
congenital heart disease, 0.02
crohn's disease, 0.44
cystic fibrosis, 0.02
depression, 0.02
dermatomyositis, 0.46
drug reaction, 0.14
drug reaction or adverse effect, 0.02
drug reaction or toxicity, 0.02
drug reaction with eosinophilia and systemic symptoms (dress), 0.02
drug-induced lupus, 0.08
epilepsy, 0.04
epstein-barr virus (ebv) infection, 0.04
erythema multiforme, 0.06
erythropoietic protoporphyria (epp), 0.02
familial mediterranean fever (fmf), 0.08
fibromyalgia, 0.04
gastroenteritis, 0.02
glomerulonephritis, 0.46
glycogen storage disease, 0.06
goodpasture's syndrome, 0.04
granulomatosis with polyangiitis (gpa), 0.2
