# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
1, 1, 0.0, 0.0, 0.0
2, 2, 0.0, 0.0, 0.0
3, 13, 7.6923076923076925, 30.76923076923077, 61.53846153846154
4, 41, 63.41463414634146, 90.2439024390244, 95.1219512195122
5, 109, 72.47706422018348, 95.41284403669725, 98.1651376146789
6, 177, 86.4406779661017, 96.045197740113, 98.87005649717514
7, 214, 95.32710280373831, 99.53271028037383, 99.53271028037383
8, 167, 99.40119760479041, 100.0, 100.0
9, 149, 97.98657718120806, 100.0, 100.0
10, 78, 100.0, 100.0, 100.0
11, 27, 100.0, 100.0, 100.0
12, 12, 100.0, 100.0, 100.0
13, 7, 100.0, 100.0, 100.0
14, 1, 100.0, 100.0, 100.0
