 Diagnosis, Precentage in Top Five
acute disseminated encephalomyelitis (adem), 0.02
acute glomerulonephritis, 0.46
acute hepatitis, 0.02
acute leukemia, 0.02
acute lymphoblastic leukemia, 0.02
acute lymphoblastic leukemia (all), 0.14
acute post-streptococcal glomerulonephritis, 0.14
acute pyelonephritis, 0.02
acute rheumatic fever, 0.5
alpha-1 antitrypsin deficiency, 0.02
appendicitis, 0.02
atopic dermatitis (eczema), 0.02
autoimmune disorder (e.g., juvenile idiopathic arthritis), 0.02
autoimmune encephalitis, 0.04
autoimmune hepatitis, 2.44
autoimmune pancreatitis, 0.06
autoimmune thyroiditis (hashimoto's disease), 0.02
bacterial endocarditis, 0.04
behçet's disease, 0.14
bladder or kidney stones, 0.02
brain tumor, 0.04
canker sores, 0.02
cat scratch disease, 0.16
celiac disease, 0.54
chickenpox, 0.02
childhood asthma, 0.04
childhood leukemia, 0.02
childhood tuberculosis, 0.04
childhood vasculitis, 0.06
childhood-onset granulomatosis with polyangiitis, 0.02
childhood-onset granulomatosis with polyangiitis (gpa), 0.02
childhood-onset polyarteritis nodosa, 0.02
childhood-onset sarcoidosis, 0.02
childhood-onset schizophrenia, 0.04
childhood-onset scleroderma, 0.08
childhood-onset sjogren's syndrome, 0.02
chronic active epstein-barr virus infection, 0.04
chronic active hepatitis, 0.2
chronic fatigue syndrome, 0.02
chronic kidney disease, 0.12
chronic kidney disease (ckd), 0.02
chronic pancreatitis, 0.02
congenital heart disease with complications, 0.02
congenital hepatic fibrosis, 0.02
constitutional growth delay, 0.02
crohn's disease, 0.04
cystic fibrosis, 0.02
dermatomyositis, 0.88
discoid lupus erythematosus, 0.02
drug reaction with eosinophilia and systemic symptoms (dress), 0.02
drug-induced liver injury, 0.02
drug-induced lupus, 1.04
endocarditis, 0.06
epilepsy with comorbid autoimmune condition, 0.02
epstein-barr virus (ebv) hepatitis, 0.02
epstein-barr virus (ebv) infection, 1.18
epstein-barr virus infection (mononucleosis), 0.02
erythropoietic protoporphyria, 0.04
familial mediterranean fever, 0.18
familial mediterranean fever (fmf), 0.14
fibromyalgia, 0.04
fifth disease (erythema infectiosum), 0.02
gaucher disease, 0.04
gingivostomatitis, 0.02
glomerulonephritis, 0.04
glycogen storage disease, 0.1
glycogen storage disease type i, 0.06
