 Diagnosis, Precentage in Top Five
achalasia, 0.16
allergic reaction, 0.08
asthma, 0.32
asthma exacerbation, 0.08
calcinosis cutis, 0.16
cerebral palsy, 0.32
congenital heart disease, 0.56
congenital muscular dystrophy, 0.24
congenital myasthenic syndrome, 0.16
congenital myopathies, 0.08
congenital myopathy, 0.08
crest syndrome, 0.64
cystic fibrosis, 0.32
dermatomyositis, 1.86
duchenne muscular dystrophy, 0.16
dupuytren's contracture, 0.16
ehlers-danlos syndrome, 6.66
eosinophilic esophagitis, 0.64
eosinophilic fasciitis, 1.86
esophageal disorders, 0.16
esophageal motility disorders, 0.08
fibromyalgia, 0.08
gastroesophageal reflux disease (gerd), 0.08
hypereosinophilic syndrome, 0.08
hypoparathyroidism, 0.48
hypothyroid myopathy, 0.08
hypothyroidism, 3.65
idiopathic calcinosis, 0.08
idiopathic interstitial pneumonia, 0.08
idiopathic juvenile arthritis, 0.08
idiopathic pulmonary fibrosis, 0.4
interstitial lung disease, 0.16
juvenile dermatomyositis, 13.56
juvenile idiopathic arthritis, 7.87
juvenile idiopathic arthritis (jia), 0.32
juvenile localized scleroderma, 0.08
juvenile scleroderma, 0.24
juvenile systemic lupus erythematosus, 0.16
juvenile systemic scleroderma, 0.08
juvenile systemic sclerosis, 9.91
leukemia, 0.08
linear scleroderma, 0.16
lipodystrophy, 0.16
loeys-dietz syndrome, 0.16
lupus, 3.81
lupus (sle), 0.08
lupus erythematosus, 0.08
lyme disease, 0.32
marfan syndrome, 0.08
mixed connective tissue disease, 6.25
mixed connective tissue disease (mctd), 3.0
morphea, 0.24
muscular dystrophy, 0.48
myositis, 0.08
paraneoplastic syndrome, 0.08
parry-romberg syndrome, 0.08
pneumonia, 0.08
polymyositis, 1.21
progressive systemic scleroderma, 0.08
progressive systemic sclerosis, 0.64
progressive systemic sclerosis (scleroderma), 0.16
pulmonary embolism, 0.08
pulmonary hypertension, 0.89
restrictive lung disease, 0.08
rheumatic fever, 0.24
rheumatoid arthritis, 0.48
sarcoidosis, 0.08
scleroderma, 8.12
scleroderma-like disorders, 0.08
scleromyxedema, 0.08
sjogren's syndrome, 0.64
sjögren's syndrome, 0.08
systemic lupus erythematosus, 5.93
systemic lupus erythematosus (sle), 5.03
systemic sclerosis, 5.19
systemic sclerosis (scleroderma), 3.08
viral arthritis, 0.08
