 Diagnosis, Precentage in Top Five
asthma with associated skin condition, 0.08
calcinosis cutis, 1.13
cerebral palsy, 0.4
congenital muscular torticollis, 0.16
crest syndrome, 0.24
crest syndrome (limited scleroderma), 0.56
cutaneous lupus erythematosus, 0.08
cystic fibrosis with skin manifestations, 0.08
dermatomyositis, 2.59
ehlers-danlos syndrome, 8.34
ehlers-danlos syndrome (eds), 0.32
eosinophilic esophagitis, 0.24
eosinophilic fasciitis, 6.39
esophageal stricture, 0.16
growing pains, 0.16
growth pains, 0.08
hypothyroidism, 0.32
juvenile dermatomyositis, 11.49
juvenile idiopathic arthritis, 0.97
juvenile idiopathic arthritis (jia), 3.31
juvenile idiopathic arthritis (jia) with pulmonary involvement, 0.08
juvenile idiopathic arthritis (jia) with raynaud's, 0.08
juvenile idiopathic arthritis (jia) with scleroderma features, 0.24
juvenile idiopathic arthritis (jia) with scleroderma-like features, 0.08
juvenile idiopathic arthritis (jia) with systemic features, 0.08
juvenile idiopathic arthritis (systemic onset), 0.16
juvenile rheumatoid arthritis, 0.08
juvenile rheumatoid arthritis (jra), 0.08
juvenile scleroderma, 0.16
juvenile systemic sclerosis, 7.69
limb-girdle muscular dystrophy, 0.08
limited cutaneous systemic sclerosis, 0.08
limited cutaneous systemic sclerosis (crest syndrome), 0.08
linear morphea, 0.08
linear scleroderma, 1.13
localized scleroderma, 0.64
localized scleroderma (morphea), 11.17
lupus (juvenile systemic lupus erythematosus), 0.08
lupus (sle) in a juvenile form, 0.08
lupus (systemic lupus erythematosus), 2.42
lupus erythematosus, 1.05
lyme disease, 0.16
mixed connective tissue disease, 4.29
mixed connective tissue disease (mctd), 13.36
morphea, 0.56
morphea (localized scleroderma), 0.32
muscular dystrophy, 0.48
nephrogenic systemic fibrosis, 0.32
pediatric lupus, 0.08
pediatric lupus erythematosus, 0.08
pediatric rheumatoid arthritis, 0.16
polymyositis, 0.48
polymyositis/dermatomyositis, 0.16
primary raynaud's disease, 0.08
primary raynaud's phenomenon, 0.64
primary raynaud's phenomenon with potential overlap syndrome, 0.08
primary raynaud's phenomenon with secondary pulmonary condition, 0.08
primary raynaud's phenomenon with secondary pulmonary hypertension, 0.08
primary raynaud's phenomenon with secondary pulmonary issues, 0.08
primary raynaud's phenomenon with secondary respiratory condition, 0.08
pulmonary fibrosis secondary to an autoimmune process, 0.08
raynaud's disease, 0.08
rhabdomyolysis, 0.08
rheumatic fever, 0.32
rheumatoid arthritis, 0.16
rheumatoid arthritis (juvenile form), 0.08
rheumatoid arthritis (juvenile idiopathic arthritis), 0.08
scleredema, 0.08
scleroderma, 1.13
scleroderma (juvenile systemic sclerosis), 0.32
scleroderma (localized scleroderma or morphea), 0.08
scleroderma (localized), 1.13
scleroderma (systemic sclerosis), 0.08
sjögren's syndrome, 0.32
spastic diplegia, 0.08
spinal muscular atrophy, 0.08
systemic lupus erythematosus, 0.4
systemic lupus erythematosus (sle), 1.86
systemic sclerosis, 0.4
systemic sclerosis (juvenile scleroderma), 0.24
systemic sclerosis (juvenile), 0.32
systemic sclerosis (pediatric scleroderma), 0.08
systemic sclerosis (pediatric), 0.08
systemic sclerosis (scleroderma), 7.61
undifferentiated connective tissue disease, 0.08
viral infection, 0.08
viral infection (e.g., parvovirus b19), 0.08
viral myositis, 0.08
