 Diagnosis, Precentage in Top Five
amyotrophic lateral sclerosis (als), 0.16
arthrogryposis multiplex congenita, 0.32
buerger's disease (thromboangiitis obliterans), 0.24
calcinosis cutis, 0.08
cerebral palsy, 0.32
chronic graft-versus-host disease, 0.16
constitutional growth delay, 0.08
dermatomyositis, 1.93
duchenne muscular dystrophy, 0.08
ehlers-danlos syndrome, 0.24
eosinophilic esophagitis, 0.16
eosinophilic fasciitis, 12.98
fibromyalgia, 0.56
graft-versus-host disease, 3.46
growing pains, 0.16
growth hormone deficiency, 0.08
hypothyroidism, 0.8
juvenile dermatomyositis, 13.46
juvenile idiopathic arthritis, 1.61
juvenile idiopathic arthritis (jia), 0.32
juvenile lupus, 0.08
juvenile rheumatoid arthritis, 1.61
juvenile scleroderma, 0.72
juvenile systemic sclerosis, 4.75
leukemia, 0.16
linear scleroderma (morphea), 0.08
lupus, 0.08
lupus (systemic lupus erythematosus), 5.24
lupus erythematosus, 0.48
lyme disease, 0.4
mixed connective tissue disease, 16.69
morphea, 2.09
morphea (localized scleroderma), 4.59
muscular dystrophy, 0.32
nephrogenic systemic fibrosis, 1.45
nutritional deficiency, 0.08
overlap syndrome, 0.48
polymyositis, 1.45
post-traumatic contracture, 0.32
primary raynaud's disease, 3.87
primary raynaud's disease with coincidental contracture, 0.48
primary raynaud's disease with coincidental dysphagia, 0.16
primary raynaud's phenomenon, 0.16
pulmonary arterial hypertension, 1.12
reactive arthritis, 0.16
scleroderma, 2.09
sjögren's syndrome, 0.16
systemic lupus erythematosus, 0.88
systemic lupus erythematosus (sle), 0.32
systemic scleroderma, 1.69
systemic sclerosis (scleroderma), 9.91
thoracic outlet syndrome, 0.32
turner syndrome, 0.08
vitamin d deficiency, 0.16
