 Diagnosis, Precentage in Top Five
achalasia, 0.9
acrocyanosis, 0.12
acromegaly, 0.02
acute lymphoblastic leukemia, 0.02
allergic contact dermatitis, 0.02
anemia, 0.73
angioedema, 0.02
anorexia nervosa, 0.08
anxiety, 0.12
anxiety or stress, 0.02
asthma, 1.22
asthma exacerbation, 0.08
atopic dermatitis, 0.02
cardiac conditions, 0.02
celiac disease, 0.08
chilblains, 0.02
chronic kidney disease, 0.02
chronic obstructive pulmonary disease (copd), 0.02
congenital heart disease, 0.59
connective tissue disorder, 0.06
crest syndrome, 0.22
cushing's syndrome, 0.61
cutaneous lupus erythematosus, 0.02
cutaneous t-cell lymphoma, 0.06
cutis verticis gyrata, 0.04
cyanotic heart disease, 0.04
cystic fibrosis, 0.26
dehydration, 0.1
dermatitis herpetiformis, 0.02
dermatofibroma, 0.06
dermatofibromas, 0.02
dermatofibrosarcoma protuberans, 0.08
dermatomyositis, 1.71
dupuytren's contracture, 0.02
ectodermal dysplasia, 0.02
eczema, 0.14
ehlers-danlos syndrome, 2.43
eosinophilic esophagitis, 2.27
eosinophilic fasciitis, 0.98
epidermal inclusion cyst, 0.02
epidermolysis bullosa, 0.02
eruptive xanthoma, 0.04
erythema nodosum, 0.02
esophageal dysmotility, 0.06
esophageal dysphagia, 0.14
esophageal motility disorder, 0.02
esophageal stricture, 0.96
esophageal strictures, 0.02
esophagitis, 0.02
ewing's sarcoma, 0.02
exercise-induced asthma, 0.02
exercise-induced bronchoconstriction, 0.02
familial multiple lipomatosis, 0.02
fibromyalgia, 1.2
foreign body aspiration, 0.02
foreign body in the throat, 0.02
foreign body obstruction, 0.02
frostbite, 0.34
gastroesophageal reflux disease (gerd), 0.53
gastrointestinal esophageal reflux disease (gerd), 0.02
gerd (gastroesophageal reflux disease), 0.06
growing pains, 0.08
growth hormone deficiency, 0.02
heart condition, 0.04
heart condition (e.g. congenital heart disease), 0.02
heart condition (such as congenital heart disease), 0.02
hepatic steatosis, 0.02
hyperhidrosis, 0.04
hyperlipidemia, 0.02
hyperthyroidism, 0.12
hypocalcemia, 0.02
hypoparathyroidism, 0.12
hypopituitarism, 0.04
hypothermia, 0.12
hypothyroidism, 12.66
idiopathic inflammatory myopathy, 0.02
idiopathic pulmonary fibrosis, 0.02
inflammatory myopathy, 0.02
influenza, 0.06
interstitial lung disease, 0.16
iron deficiency anemia, 0.14
iron-deficiency anemia, 0.02
juvenile dermatomyositis, 4.41
juvenile fibromyalgia, 0.04
juvenile hypothyroidism, 0.02
juvenile idiopathic arthritis, 11.35
juvenile idiopathic arthritis (jia), 0.51
juvenile localized scleroderma (morphea), 0.02
juvenile psoriatic arthritis, 0.02
juvenile rheumatoid arthritis, 0.24
juvenile scleroderma, 0.06
juvenile systemic lupus erythematosus, 0.16
juvenile systemic sclerosis, 2.25
kawasaki disease, 0.08
langerhans cell histiocytosis, 0.04
leukemia, 0.08
lichen planus, 0.08
lichen sclerosis, 0.04
lichen sclerosus, 0.3
linear scleroderma, 0.02
lipoatrophy, 0.02
lipodermatosclerosis, 0.02
lipodystrophy, 0.08
lipoid proteinosis, 0.04
lipoma, 0.12
lipomatosis, 0.02
livedo reticularis, 0.04
liver disease, 0.08
loeys-dietz syndrome, 0.02
lupus, 3.17
lupus erythematosus, 0.02
lyme disease, 0.1
lymphoma, 0.04
malnutrition, 0.57
marfan syndrome, 0.2
mixed connective tissue disease, 0.47
mixed connective tissue disease (mctd), 0.14
morphea, 0.2
muscle strain, 0.06
muscular dystrophy, 0.02
myasthenia gravis, 0.02
myositis, 0.02
nephrotic syndrome, 0.02
neurofibromatosis, 0.06
nutritional deficiency (such as vitamin d deficiency), 0.02
obesity, 0.04
osteoarthritis, 0.02
osteogenesis imperfecta, 0.02
osteomyelitis, 0.02
osteosarcoma, 0.02
pachydermoperiostosis (primary hypertrophic osteoarthropathy), 0.02
peripheral arterial disease, 0.06
peripheral artery disease, 0.28
peripheral artery disease (pad), 0.06
peripheral vascular disease, 0.77
pernio (chilblains), 0.02
pharyngitis, 0.02
pneumonia, 0.02
polycystic ovary syndrome (pcos), 0.06
polymyositis, 0.14
poor circulation, 0.02
primary raynaud's disease, 0.02
progressive systemic sclerosis, 0.02
psoriasis, 0.14
psoriatic arthritis, 0.22
pulmonary embolism, 0.06
pulmonary fibrosis, 0.02
pulmonary hypertension, 0.63
raynaud's disease, 2.78
raynaud's phenomenon, 11.23
reynaud's disease, 0.08
reynaud's phenomenon, 0.06
reynold's syndrome, 0.08
rheumatic fever, 0.14
rheumatoid arthritis, 0.9
rheumatoid nodules, 0.06
sarcoidosis, 0.02
scleroderma, 9.71
sickle cell anemia, 0.02
sickle cell disease, 0.02
sjogren's syndrome, 0.26
sjögren's syndrome, 0.06
sle (systemic lupus erythematous), 0.02
steatocystoma multiplex, 0.08
systemic juvenile idiopathic arthritis, 0.02
systemic lupus erythematosus, 2.18
systemic lupus erythematosus (sle), 6.11
systemic sclerosis, 3.9
systemic sclerosis (scleroderma), 3.02
vasculitis, 0.04
viral infection, 0.02
viral infection (such as influenza), 0.02
viral myositis, 0.06
vitamin d deficiency, 0.04
xanthelasma, 0.02
xanthoma, 0.02
xanthomas, 0.02
