Symptom, # mentioned, # unmentioned
Arthritis, 9, 79
Calcinosis, 44, 9
Cardiac involvement, 12, 12
Cutaneous ulceration, 6, 32
Dysphagia, 21, 54
Dysphonia, 13, 53
Dyspnea on exertion, 8, 51
Easy fatigue, 27, 200
Edema, 4, 45
Falling episodes, 10, 97
Fever, 28, 68
Gastrointestinal bleeding or ulceration, 9, 4
Gastrointestinal symptoms, 11, 36
Gingivitis, 0, 44
Gottron Papule, 188, 0
Helioptrope rash, 0, 183
Interstitial lung disease, 6, 4
Joint contractures, 5, 58
Lipodystrophy, 0, 16
Lymphadenopathy, 8, 96
Malar rash, 108, 75
Muscle pain or tenderness, 141, 0
Periungal erythema, 91, 37
Photosensitive rashes, 54, 27
Progressive proximal muscles weakness, 228, 0
Raynaud's, 7, 33
V or shawl sign, 52, 0
Weight loss, 13, 68
