Symptom, # mentioned, # unmentioned
Activity intolerance, 90, 25
Arm pain, 46, 29
Big lymph nodes, 58, 73
Black stool, 0, 9
Bloody stool, 0, 7
Bloody vomit, 0, 7
Bumps on neck, 9, 117
Bumps on skin, 70, 9
Bumps under arms, 31, 101
Bumps under skin, 102, 5
Butterfly rash, 130, 43
Can't move joint, 41, 51
Cannot  tolerate sun, 63, 94
Cannot raise arms, 138, 1
Cannot sit up, 121, 0
Cannot stand up, 107, 14
Cannot walk up stairs, 127, 5
Cannot wash hair, 109, 16
Cardiac involvement, 51, 21
Changes to voice, 12, 95
Cold hands, 9, 38
Constipation, 2, 64
Contracture, 22, 36
Coordination issues, 73, 52
Cuts on hands, 22, 80
Dark eyelids, 125, 106
Exercise intolerance, 112, 4
Fever, 242, 112
Finger turning blue, 2, 68
Fingers turning white, 0, 52
Flu like ache , 61, 0
Food gets stuck in throat, 2, 50
Frequent falls, 118, 20
Hand rash, 227, 42
Hand swelling, 37, 34
Hard to move joints, 40, 46
Joint pain, 43, 45
Joint stuck, 33, 51
Joint swelling, 52, 40
Joint tenderness, 34, 49
Leg pain, 40, 33
Leg swelling, 19, 47
Loss of coordination, 142, 3
Muscle Tenderness, 102, 0
Musculoskeletal pain, 53, 39
Nasal voice, 14, 70
Painful gums, 0, 59
Pills get stuck in throat , 56, 0
Purple eyelids, 222, 3
Rash on back, 48, 37
Rash on cheeks, 151, 19
Rash on chest, 39, 33
Rash on eyelids, 221, 4
Rash on face, 126, 28
Rash that comes on in sun, 88, 46
Red cuticles , 504, 0
Red gums, 33, 31
Rosy cheeks, 110, 56
Shorness of breath, 52, 2
Sore muscles, 100, 2
Sores on hands, 38, 57
Stomach pain, 9, 55
Stuck joint, 26, 60
Temporal wasting, 17, 16
Tender gums, 8, 55
Thin skin, 32, 6
Tired, 405, 464
Trouble breathing, 38, 47
Trouble swallowing, 30, 23
Trouble swallowing liquids, 22, 26
Trouble swallowing solids, 31, 30
Voice changes, 16, 65
Weight loss, 140, 204
abdominal pain, 12, 54
arm swelling, 31, 46
rash on chest and back, 46, 41
rash on hands, 182, 14
rash on kncules, 0, 255
shortness of breath, 60, 5
trouble breathing with activity, 39, 42
