Symptom, # mentioned, # unmentioned
Abnormal esophageal motility, 79, 31
Abnormal lung  diffusion, 59, 46
Arthritis, 215, 1
Cardiac disease, 39, 32
Central nervous system disease, 6, 47
Effusion, 5, 53
Fever, 12, 97
Gottron's papules, 17, 78
Hepatomegaly, 7, 54
Hypertension, 2, 11
Malar rash, 12, 66
Muscle disease, 137, 18
Pericarditis, 34, 38
Raynaud's phenomenon, 209, 0
Renal disease, 17, 47
Restrictive lung disese, 19, 15
Sclerodermatous skin, 93, 16
Sicca symptoms, 42, 46
Splenomegaly, 18, 54
