Symptom, # mentioned, # unmentioned
Abnormal lung  diffusion, 199, 148
Butterfly rash, 7, 39
Cardiac disease, 141, 53
Chest pain, 21, 165
Cognitive issues, 18, 15
Cold hands, 109, 67
Dry eyes, 25, 95
Dry mouth, 20, 87
Effusion, 16, 123
Encephalopathy, 6, 35
Fever, 40, 228
Finger turning blue, 46, 162
Fingers turning white, 37, 178
Food gets stuck in throat, 2, 46
Hand rash, 11, 52
Hard skin, 91, 66
Hepatomegaly, 57, 143
Hypertension, 8, 50
Joint pain, 199, 0
Joint stiffness, 210, 10
Joint tenderness, 199, 3
Meningitis, 3, 50
Muscular Weakness, 155, 38
Pills get stuck in throat , 64, 0
Psychiatric issues, 23, 25
Rash on cheeks, 5, 44
Rash on face, 0, 45
Renal disease, 118, 87
Restrictive lung disese, 77, 35
Rosy cheeks, 4, 49
Shiny skin, 70, 51
Sore muscles, 107, 89
Splenomegaly, 94, 125
Tight skin, 80, 30
Trouble swallowing, 19, 51
Trouble swallowing liquids, 15, 43
Trouble swallowing solids, 22, 45
rash on hands, 10, 70
rash on kncules, 0, 90
