Symptom, # mentioned, # unmentioned
Abnormal liver function, 51, 23
Acute confusional state, 21, 3
Alopecia, 38, 2
Arthritis, 189, 0
Cardiovascular disease, 38, 13
Discoid rash, 5, 0
Fever, 137, 21
Gastrointestinal disease, 34, 31
Headache, 15, 14
Hepatosplenomegaly, 44, 32
Lymphadenopathy, 59, 12
Malar rash, 165, 0
Myocarditis, 14, 1
Nephritis, 120, 0
Pancreatitis , 7, 0
Pericardiitis , 50, 0
Peritonitis (sterile), 12, 17
Photosensitive rash, 63, 23
Pleuritis, 33, 3
Pneumonitis , 10, 0
Psychosis, 28, 0
Pulmonary disease, 40, 17
Pulmonary hemorrhage, 6, 0
Seizures, 18, 0
Weight loss, 23, 46
mucosal ulceration, 76, 1
