Symptom, # mentioned, # unmentioned
Abnormal liver function, 248, 36
Anxiety, 9, 18
Blood in urine, 224, 8
Butterfly rash, 339, 0
Cannot  tolerate sun, 100, 59
Cardiovascular disease, 150, 26
Coughing up blood, 20, 14
Depression, 21, 11
Discoid rash, 16, 0
Enlarged Liver , 90, 0
Enlarged Liver and Spleen, 55, 38
Enlarged Spleen, 53, 52
Fever, 569, 32
Hair loss, 92, 10
Hair thinning, 95, 10
Headache, 98, 58
Joint pain, 254, 0
Joint pain and  stiffness, 234, 0
Joint swelling, 240, 1
Lung disease, 89, 39
Pancreatitis , 37, 0
Peritonitis (sterile), 83, 33
Pleuritis, 153, 1
Pneumonitis , 25, 0
Poor school performance, 10, 26
Protein in urine, 260, 1
Psychosis, 84, 0
Rash that comes on in sun, 113, 50
Seizures, 98, 1
Shortness of breath, 125, 2
Sores in mouth, 145, 48
Sores in nose, 140, 33
Stomach pain, 50, 169
Weight loss, 100, 147
chest pain, 99, 62
lumps in neck, 60, 229
rash on face, 79, 241
sore muscles, 32, 19
