Symptom, # mentioned, # unmentioned
Bumps under skin, 94, 0
Cold hands, 167, 12
Fingers turning blue, 171, 27
Fingers turnng white, 193, 54
Food gets stuck in throat, 20, 13
Hard skin, 417, 0
Muscle pain, 45, 13
Musculoskeletal pain, 127, 8
Pain, 89, 30
Pills get stuck in throat , 26, 0
Tender muscles, 22, 20
Tight fingers, 320, 0
Tight joint, 259, 0
Trouble swallowing, 23, 1
Trouble swallowing liquids, 26, 1
Trouble swallowing solids, 21, 0
shiny skin, 374, 0
shortness of breath, 44, 2
shortness of breath with exertion, 50, 0
sore muscles, 32, 12
