condition,type,model,diagnosis,n,mean,se,lower,upper,prob,lower_ci,upper_ci
JDM,formal,chatgpt-3.5,3,248,1,0,1,1,1,0,0
JDM,formal,chatgpt-4o,3,248,1,0,1,1,1,0,0
JDM,formal,claude-3-opus,3,248,1,0,1,1,1,0,0
JDM,formal,claude-3.5-sonnet,3,248,1,0,1,1,1,0,0
JDM,informal,chatgpt-3.5,3,998,0.7865731462925851,0.012976169494431446,0.7611398540834995,0.8120064385016708,0.7865731462925851,0.025433292,0.025433292
JDM,informal,chatgpt-4o,3,998,0.9649298597194389,0.005825981,0.9535109374499466,0.9763487819889312,0.9649298597194389,0.011418922,0.011418922
JDM,informal,claude-3-opus,3,998,0.8597194388777555,0.010998400781601428,0.8381625733458167,0.8812763044096943,0.8597194388777555,0.021556866,0.021556866
JDM,informal,claude-3.5-sonnet,3,998,0.9649298597194389,0.005825981,0.9535109374499466,0.9763487819889312,0.9649298597194389,0.011418922,0.011418922
MCTD,formal,chatgpt-3.5,3,248,0.040322581,0.012516656,0.015789935,0.064855227,0.040322581,0.024532646,0.024532646
MCTD,formal,chatgpt-4o,3,248,0.9838709677419355,0.008015392,0.9681607999789046,0.9995811355049664,0.9838709677419355,0.015710168,0.015710168
MCTD,formal,claude-3-opus,3,248,0.9556451612903226,0.013099971720573351,0.9299692167179988,0.9813211058626464,0.9556451612903226,0.025675945,0.025675945
MCTD,formal,claude-3.5-sonnet,3,248,0.9838709677419355,0.008015392,0.9681607999789046,0.9995811355049664,0.9838709677419355,0.015710168,0.015710168
MCTD,informal,chatgpt-3.5,3,998,0.012024048096192385,0.003451842,0.005258437,0.018789659216423282,0.012024048096192385,0.006765611,0.006765611
MCTD,informal,chatgpt-4o,3,998,0.656312625,0.015041446023662242,0.626831391,0.6857938594568791,0.656312625,0.029481234,0.029481234
MCTD,informal,claude-3-opus,3,998,0.5741482965931863,0.015660068433514456,0.543454562,0.6048420307228747,0.5741482965931863,0.030693734,0.030693734
MCTD,informal,claude-3.5-sonnet,3,998,0.5110220440881763,0.015831311,0.47999267466543416,0.5420514135109185,0.5110220440881763,0.031029369,0.031029369
SLE,formal,chatgpt-3.5,3,248,0.9758064516129032,0.009776494,0.9566445228147528,0.9949683804110537,0.9758064516129032,0.019161929,0.019161929
SLE,formal,chatgpt-4o,3,248,0.9758064516129032,0.009776494,0.9566445228147528,0.9949683804110537,0.9758064516129032,0.019161929,0.019161929
SLE,formal,claude-3-opus,3,248,0.9919354838709677,0.005690919,0.9807812828961132,1.0030896848458224,0.9919354838709677,0.011154201,0.011154201
SLE,formal,claude-3.5-sonnet,3,248,0.9879032258064516,0.006955743,0.9742699700060549,1.0015364816068484,0.9879032258064516,0.013633256,0.013633256
SLE,informal,chatgpt-3.5,3,998,0.9258517034068137,0.008298006,0.9095876123764782,0.9421157944371491,0.9258517034068137,0.016264091,0.016264091
SLE,informal,chatgpt-4o,3,998,0.9619238476953907,0.00606107,0.9500441506423173,0.9738035447484642,0.9619238476953907,0.011879697,0.011879697
SLE,informal,claude-3-opus,3,998,0.9589178356713427,0.006285933,0.9465974061651811,0.9712382651775043,0.9589178356713427,0.01232043,0.01232043
SLE,informal,claude-3.5-sonnet,3,998,0.968937876,0.005494345,0.9581689586234351,0.979706793,0.968937876,0.010768917,0.010768917
SSc,formal,chatgpt-3.5,3,248,0.9314516129032258,0.016077935911393303,0.8999388585168949,0.9629643672895566,0.9314516129032258,0.031512754,0.031512754
SSc,formal,chatgpt-4o,3,248,0.9274193548387096,0.016508211,0.895063261,0.9597754485418073,0.9274193548387096,0.032356094,0.032356094
SSc,formal,claude-3-opus,3,248,0.9395161290322581,0.015167829305209816,0.9097871835940469,0.9692450744704694,0.9395161290322581,0.029728945,0.029728945
SSc,formal,claude-3.5-sonnet,3,248,0.9516129032258065,0.013653578,0.9248518908787383,0.9783739155728747,0.9516129032258065,0.026761012,0.026761012
SSc,informal,chatgpt-3.5,3,998,0.6503006012024048,0.015102781575330158,0.6206991493147578,0.6799020530900519,0.6503006012024048,0.029601452,0.029601452
SSc,informal,chatgpt-4o,3,998,0.8767535070140281,0.010410664761433612,0.8563486040816182,0.89715841,0.8767535070140281,0.020404903,0.020404903
SSc,informal,claude-3-opus,3,998,0.626252505,0.015322029851655424,0.5962213265007754,0.6562836835192647,0.626252505,0.030031179,0.030031179
