 Diagnosis, Precentage in Top Five
acute rheumatic fever, 0.08
autoimmune hepatitis, 0.08
autoimmune overlap syndrome, 0.08
chronic inflammatory myopathy, 0.08
crest syndrome, 0.08
dermatomyositis, 0.56
ehlers-danlos syndrome, 0.08
eosinophilic esophagitis, 0.16
eosinophilic fasciitis, 0.4
eosinophilic granulomatosis with polyangiitis (egpa), 0.08
gaucher disease, 0.08
granulomatosis with polyangiitis (wegener's granulomatosis), 0.08
henoch-schönlein purpura, 0.08
henoch-schönlein purpura (hsp), 0.24
infectious mononucleosis, 0.24
interstitial lung disease associated with connective tissue disease, 0.08
juvenile dermatomyositis, 14.83
juvenile dermatomyositis (jdm), 0.64
juvenile idiopathic arthritis, 0.4
juvenile idiopathic arthritis (jia), 4.91
juvenile idiopathic arthritis (jia) - systemic onset, 0.4
juvenile idiopathic arthritis (jia) with systemic features, 0.96
juvenile idiopathic arthritis (jia) with systemic involvement, 0.32
juvenile idiopathic arthritis (jia) with systemic onset, 1.37
juvenile idiopathic arthritis (systemic onset), 0.32
juvenile idiopathic arthritis (systemic), 0.16
juvenile idiopathic arthritis with systemic onset, 0.08
juvenile idiopathic inflammatory myopathy, 0.08
juvenile scleroderma, 0.16
juvenile systemic lupus erythematosus, 0.16
juvenile systemic lupus erythematosus (jsle), 0.16
juvenile systemic sclerosis, 3.06
kawasaki disease, 0.24
lupus (juvenile systemic lupus erythematosus), 0.24
lupus (systemic lupus erythematosus), 1.45
lupus erythematosus, 0.48
lupus nephritis (associated with systemic lupus erythematosus), 0.08
mixed connective tissue disease, 1.29
mixed connective tissue disease (mctd), 18.7
mixed cryoglobulinemia, 0.08
neuropsychiatric lupus, 0.08
overlap syndrome, 2.25
pediatric systemic lupus erythematosus (sle), 0.08
polyarteritis nodosa, 0.72
polymyositis, 0.72
polymyositis/dermatomyositis, 0.4
primary antiphospholipid syndrome, 0.08
primary biliary cholangitis (pbc) with overlap syndrome, 0.08
primary pulmonary hypertension, 0.08
primary sjögren's syndrome, 0.24
pulmonary arterial hypertension associated with connective tissue disease, 0.08
rheumatic fever, 1.45
rheumatoid arthritis, 0.32
sarcoidosis, 1.04
scleroderma, 1.93
scleroderma (juvenile systemic sclerosis), 0.08
scleroderma (localized or systemic), 0.08
scleroderma (systemic sclerosis), 2.98
scleroderma overlap syndrome, 0.08
scleroderma renal crisis, 0.16
sjogren's syndrome, 0.08
sjögren's syndrome, 7.25
sjögren’s syndrome, 0.72
still's disease, 0.08
still's disease (systemic juvenile idiopathic arthritis), 0.08
systemic juvenile idiopathic arthritis, 0.08
systemic juvenile idiopathic arthritis (sjia), 0.08
systemic lupus erythematosus, 0.32
systemic lupus erythematosus (sle), 16.53
systemic sclerosis, 0.48
systemic sclerosis (juvenile scleroderma), 0.08
systemic sclerosis (scleroderma), 7.74
undifferentiated connective tissue disease, 0.08
vasculitis (e.g., henoch-schönlein purpura), 0.08
vasculitis (e.g., polyarteritis nodosa), 0.08
viral infection (e.g., epstein-barr virus), 0.08
