 Diagnosis, Precentage in Top Five
autoimmune hepatitis, 0.64
dermatomyositis, 0.16
felty's syndrome, 0.08
hematological malignancy, 0.08
henoch-schönlein purpura (hsp), 0.16
idiopathic inflammatory myopathy, 0.08
inflammatory myopathy, 0.08
interstitial lung disease, 0.56
interstitial lung disease (ild), 0.08
juvenile dermatomyositis, 18.07
juvenile idiopathic arthritis, 0.56
juvenile idiopathic arthritis (jia), 11.56
juvenile rheumatoid arthritis (jra), 0.32
juvenile scleroderma, 0.08
juvenile spondyloarthritis, 0.08
juvenile systemic lupus erythematosus (sle), 0.24
kawasaki disease, 0.24
malignancy, 0.32
mixed connective tissue disease, 2.0
mixed connective tissue disease (mctd), 17.42
overlap syndrome, 0.48
pulmonary arterial hypertension, 0.08
pulmonary arterial hypertension (pah), 0.32
rheumatic fever, 0.16
rheumatoid arthritis, 0.56
rheumatoid arthritis (ra), 0.08
sarcoidosis, 0.4
scleroderma, 12.69
scleroderma (systemic sclerosis), 3.45
sjogren's syndrome, 0.56
sjögren's syndrome, 5.46
systemic lupus erythematosus, 1.84
systemic lupus erythematosus (sle), 17.59
systemic sclerosis (scleroderma), 0.88
systemic vasculitis, 0.16
vasculitis, 2.4
