 Diagnosis, Precentage in Top Five
acute disseminated encephalomyelitis (adem), 0.08
acute glomerulonephritis, 0.08
acute lymphoblastic leukemia (all), 1.84
acute rheumatic fever, 1.36
alopecia areata, 0.16
antiphospholipid syndrome, 0.08
antiphospholipid syndrome (aps), 0.16
autoimmune hepatitis, 2.32
autoimmune lymphoproliferative syndrome (alps), 0.16
celiac disease, 0.16
central nervous system (cns) lupus, 0.08
central nervous system infection, 0.08
childhood-onset schizophrenia, 0.08
chronic liver disease, 0.08
cystic fibrosis, 0.08
dermatomyositis, 0.4
drug reaction, 0.08
drug reaction with eosinophilia and systemic symptoms (dress) syndrome, 0.08
drug-induced lupus, 0.16
goodpasture's syndrome, 0.08
granulomatosis with polyangiitis (wegener's granulomatosis), 0.08
hemolytic uremic syndrome (hus), 0.16
hemophagocytic lymphohistiocytosis (hlh), 0.4
henoch-schönlein purpura, 0.32
henoch-schönlein purpura (hsp), 4.57
infection, 0.08
infection (e.g., viral, bacterial), 0.08
infection (e.g., viral, bacterial, or fungal), 0.08
infectious disease, 0.24
infectious disease (e.g., endocarditis, tuberculosis), 0.08
infectious diseases, 0.08
infectious mononucleosis, 0.24
inflammatory bowel disease, 0.08
inflammatory bowel disease (ibd), 5.3
juvenile dermatomyositis, 13.81
juvenile idiopathic arthritis, 0.48
juvenile idiopathic arthritis (jia), 17.75
juvenile rheumatoid arthritis, 0.08
juvenile rheumatoid arthritis (jra), 0.8
kawasaki disease, 5.94
leukemia, 0.48
lymphoma, 2.08
malignancy, 1.2
malignancy (e.g., leukemia or lymphoma), 0.08
malignancy (e.g., leukemia, lymphoma), 0.16
malignancy (e.g., lymphoma), 0.08
malnutrition, 0.08
microscopic polyangiitis, 0.08
mixed connective tissue disease, 0.16
mixed connective tissue disease (mctd), 4.25
pancreatitis, 0.08
polyarteritis nodosa, 0.48
polyarteritis nodosa (pan), 0.32
post-streptococcal glomerulonephritis, 0.16
rheumatic fever, 0.08
rheumatoid arthritis, 0.08
sarcoidosis, 1.12
scleroderma, 0.24
septic arthritis, 0.16
storage disorders, 0.08
systemic juvenile idiopathic arthritis (sjia), 0.24
systemic lupus erythematosus (sle), 19.91
systemic vasculitis, 0.24
tuberculosis, 0.08
vasculitis, 7.22
vasculitis (e.g., granulomatosis with polyangiitis), 0.08
viral encephalitis, 0.08
viral exanthem, 0.16
viral hepatitis, 1.04
viral infection, 0.56
viral infection (e.g., epstein-barr virus, cytomegalovirus), 0.16
wegener's granulomatosis, 0.24
wegener's granulomatosis (wg), 0.08
wilson's disease, 0.08
