 Diagnosis, Precentage in Top Five
acute post-streptococcal glomerulonephritis, 0.24
acute rheumatic fever, 0.48
acute viral hepatitis, 0.08
alopecia areata with concurrent liver and lung issues, 0.08
alpha-1 antitrypsin deficiency, 0.08
autoimmune encephalitis, 0.08
autoimmune hepatitis, 1.85
autoimmune thyroiditis, 0.08
behçet's disease, 0.16
celiac disease, 0.24
central nervous system infection (e.g., encephalitis), 0.08
childhood polyarteritis nodosa, 0.16
childhood tuberculosis, 0.08
childhood-onset polyarteritis nodosa, 0.08
childhood-onset sarcoidosis, 0.08
childhood-onset schizophrenia, 0.08
chronic active epstein-barr virus infection, 0.08
chronic active hepatitis, 0.08
chronic granulomatous disease, 0.08
cystic fibrosis, 0.08
dermatomyositis, 1.04
drug-induced liver injury with side effects, 0.08
drug-induced lupus, 1.61
epilepsy, 0.08
epstein-barr virus (ebv) infection, 1.2
familial mediterranean fever, 0.48
familial mediterranean fever (fmf), 0.08
gaucher disease, 0.08
glycogen storage disease, 0.08
granulomatosis with polyangiitis, 0.16
granulomatosis with polyangiitis (formerly wegener's), 0.08
granulomatosis with polyangiitis (gpa), 0.08
hemophagocytic lymphohistiocytosis (hlh), 2.17
henoch-schönlein purpura, 0.08
henoch-schönlein purpura (hsp), 1.04
infectious mononucleosis, 1.2
inflammatory bowel disease (ibd), 0.4
juvenile dermatomyositis, 3.54
juvenile idiopathic arthritis (jia), 18.54
juvenile idiopathic arthritis (systemic onset), 0.08
juvenile idiopathic arthritis (systemic-onset), 0.48
kawasaki disease, 12.25
leptospirosis, 0.08
leukemia, 1.77
leukemia (acute lymphoblastic leukemia), 0.16
lyme disease, 11.45
lyme disease (late-stage), 0.08
lymphoma, 1.37
lymphoma (hodgkin's or non-hodgkin's), 0.16
lysosomal storage disorders (e.g., gaucher disease), 0.08
malaria, 0.08
mixed connective tissue disease, 10.48
mixed connective tissue disease (mctd), 0.24
neuropsychiatric systemic lupus erythematosus (npsle), 0.08
pediatric acute-onset neuropsychiatric syndrome (pans), 0.08
pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections (pandas), 0.4
pediatric onset sjogren's syndrome, 0.08
pediatric sarcoidosis, 0.24
pediatric sjogren's syndrome, 0.08
pediatric vasculitis, 0.24
pediatric vasculitis (e.g., polyarteritis nodosa), 0.16
polyarteritis nodosa, 0.56
polyarteritis nodosa (pan), 0.08
porphyria, 0.08
reactive arthritis, 0.08
rheumatic fever, 0.96
sarcoidosis, 0.48
scleroderma, 0.24
stevens-johnson syndrome, 0.08
systemic juvenile idiopathic arthritis (sjia), 0.08
systemic lupus erythematosus (sle), 19.75
tuberculosis, 0.32
tuberous sclerosis complex, 0.08
vasculitis (e.g., polyarteritis nodosa), 0.08
viral encephalitis, 0.16
viral exanthem (e.g., epstein-barr virus), 0.08
viral infection (e.g., epstein-barr virus), 0.16
wegener's granulomatosis (granulomatosis with polyangiitis), 0.08
wilson's disease, 0.08
