 Diagnosis, Precentage in Top Five
abdominal migraine, 0.02
acute abdomen (appendicitis), 0.02
acute appendicitis, 0.06
acute disseminated encephalomyelitis (adem), 0.04
acute gastritis, 0.02
acute gastroenteritis, 0.02
acute glomerulonephritis, 0.88
acute hepatitis, 0.14
acute intermittent porphyria, 0.3
acute interstitial nephritis, 0.04
acute kidney injury, 0.02
acute leukemia, 0.02
acute liver failure, 0.02
acute lymphadenitis, 0.06
acute lymphoblastic leukemia, 0.16
acute lymphoblastic leukemia (all), 0.16
acute pancreatitis, 0.22
acute porphyria, 0.04
acute poststreptococcal glomerulonephritis, 0.08
acute poststreptococcal glomerulonephritis (apsgn), 0.02
acute pyelonephritis, 0.04
acute rheumatic fever, 0.16
acute systemic lupus erythematosus flare, 0.02
acute viral hepatitis, 0.04
acute viral infection, 0.02
allergic reaction, 0.1
allergic rhinitis, 0.04
alopecia areata, 0.04
alport syndrome, 0.02
anemia, 0.02
antiphospholipid syndrome, 0.04
anxiety, 0.04
anxiety disorder, 0.14
aphthous stomatitis (canker sores), 0.02
appendicitis, 0.12
asthma, 0.18
asthma exacerbation, 0.08
autoimmune hemolytic anemia, 0.02
autoimmune hepatitis, 1.66
autoimmune lymphoproliferative syndrome, 0.02
autoimmune pancreatitis, 0.04
bacterial endocarditis, 0.02
behcet's disease, 0.42
behçet's disease, 0.06
biliary atresia, 0.04
brain tumor, 0.04
cancer, 0.02
cancer (e.g. lymphoma), 0.02
cardiomyopathy, 0.02
cardiovascular disease, 0.02
cat scratch disease, 0.2
cat scratch fever, 0.02
cat scratch fever (bartonella henselae infection), 0.02
celiac disease, 0.72
chronic kidney disease, 0.02
chronic kidney disease (ckd), 0.02
chronic liver disease, 0.02
churg-strauss syndrome, 0.02
cns vasculitis, 0.02
coeliac disease, 0.14
congenital heart disease, 0.4
congenital hepatic fibrosis, 0.02
congestive heart failure, 0.14
congestive heart failure (chf), 0.02
coxsackie virus (herpangina), 0.02
coxsackievirus (hand, foot, and mouth disease), 0.02
coxsackievirus infection, 0.06
crohn's disease, 0.1
cutaneous lupus erythematosus, 0.1
cutaneous lupus erythematosus (cle), 0.02
cystic fibrosis, 0.56
cytomegalovirus (cmv) infection, 0.02
depression, 0.04
dermatitis herpetiformis, 0.02
dermatomyositis, 0.38
discoid lupus erythematosus, 0.1
discoid lupus erythematosus (dle), 0.02
drug reaction, 0.02
drug-induced hepatitis, 0.02
drug-induced liver injury, 0.02
drug-induced lupus, 0.04
drug-induced psychosis, 0.02
encephalitis, 0.02
epilepsy, 0.1
epstein-barr virus (ebv) infection, 0.06
erythropoietic protoporphyria, 0.02
familial mediterranean fever, 0.36
familial mediterranean fever (fmf), 0.08
fever of unknown origin, 0.02
fibromyalgia, 0.04
gastroenteritis, 0.24
gastrointestinal infection, 0.04
gastrointestinal reflux disease (gerd), 0.02
gaucher disease, 0.04
generalized anxiety disorder, 0.08
