 Diagnosis, Precentage in Top Five
arthrogryposis multiplex congenita (amc), 0.32
calcinosis cutis, 0.88
celiac disease, 0.08
cerebral palsy, 0.32
congenital myopathy, 0.32
cystic fibrosis, 0.08
dermatomyositis, 7.55
eosinophilic esophagitis, 1.52
eosinophilic fasciitis, 8.19
fibromyalgia, 0.24
gastroesophageal reflux disease (gerd), 0.24
graft-versus-host disease (gvhd), 0.16
growing pains, 0.16
hypermobility syndrome, 0.08
inflammatory bowel disease (ibd), 0.08
interstitial lung disease, 0.4
juvenile dermatomyositis, 8.91
juvenile idiopathic arthritis, 3.37
juvenile idiopathic arthritis (jia), 4.49
juvenile scleroderma, 0.08
lactose intolerance, 0.08
lupus, 0.08
lupus erythematosus, 0.24
lyme disease, 0.16
mixed connective tissue disease, 1.76
mixed connective tissue disease (mctd), 17.42
morphea (localized scleroderma), 6.42
muscular dystrophy, 0.4
nephrogenic systemic fibrosis, 2.97
overlap syndrome, 2.97
paraneoplastic syndrome, 4.01
parasitic infection, 0.08
polymyositis, 0.56
primary raynaud's phenomenon, 0.32
pulmonary hypertension, 0.24
reactive arthritis, 0.16
rheumatic fever, 0.16
rheumatoid arthritis, 0.32
scleroderma, 1.12
scleroderma (systemic sclerosis), 0.08
sjögren's syndrome, 0.16
systemic lupus erythematosus (sle), 1.36
systemic sclerosis (scleroderma), 17.99
undifferentiated connective tissue disease (uctd), 3.13
viral arthritis, 0.16
vitamin d deficiency, 0.08
